,H1Agriculture,H2Mining and construction,H3Food processing,H4Other manufacturing,H5Transportation,H6Information,H7Utilities,H8Wholesale trade,H9Retail trade,H10Finance and insurance,H11Real estate and rentals,H12Professional services,H13Business services,H14Educational services,H15Health services,H16Arts and entertainment,H17Hotels ,H18Eating and drinking,H19Other services,H20Government,O1Agriculture,O2Mining and construction,O3Food processing,O4Other manufacturing,O5Transportation,O6Information,O7Utilities,O8Wholesale trade,O9Retail trade,O10Finance and insurance,O11Real estate and rentals,O12Professional services,O13Business services,O14Educational services,O15Health services,O16Arts and entertainment,O17Hotels ,O18Eating and drinking,O19Other services,O20Government,K1Agriculture,K2Mining and construction,K3Food processing,K4Other manufacturing,K5Transportation,K6Information,K7Utilities,K8Wholesale trade,K9Retail trade,K10Finance and insurance,K11Real estate and rentals,K12Professional services,K13Business services,K14Educational services,K15Health services,K16Arts and entertainment,K17Hotels ,K18Eating and drinking,K19Other services,K20Government,M1Agriculture,M2Mining and construction,M3Food processing,M4Other manufacturing,M5Transportation,M6Information,M7Utilities,M8Wholesale trade,M9Retail trade,M10Finance and insurance,M11Real estate and rentals,M12Professional services,M13Business services,M14Educational services,M15Health services,M16Arts and entertainment,M17Hotels ,M18Eating and drinking,M19Other services,M20government enterprises
M8Wholesale trade,0.024,0.016,0.014,0.163,0.015,0.059,0.047,0.075,0.025,0.021,0.076,0.198,0.136,-0.001,0.003,0.004,0.519,0.038,0.034,0.024,0.053,0.086,0.133,5.587,0.526,0.218,0.243,2.561,0.809,0.842,0.628,1.253,1.501,0.163,-0.003,-0.005,0.162,0.44,0.106,0.252,0.004,0.022,0.024,0.009,0.005,0.042,0.025,0.059,0.015,0.015,0.03,0.184,0.051,0.003,0.006,0.006,0.406,0.059,0.016,0.036,0.117,0.757,0.088,0.172,1.023,2.418,1.294,2.252,2.123,0.7,2.63,2.27,7.395,0.07,0,0.014,1.086,0.819,3.899,2.645
M9Retail trade,0.01,0.008,0.005,0.088,0.008,0.028,0.025,0.017,0.015,0.011,0.041,0.106,0.189,0,0.001,0.002,0.23,0.017,0.02,0.014,0.012,0.037,0.045,3.077,0.243,0.094,0.11,0.451,0.494,0.554,0.275,0.618,0.563,0.055,-0.001,-0.002,0.07,0.185,0.045,0.109,0.002,0.009,0.01,0.004,0.002,0.018,0.011,0.011,0.006,0.006,0.013,0.088,0.024,0.001,0.002,0.003,0.177,0.024,0.007,0.015,0.046,0.65,0.03,0.099,0.45,1.076,1.371,0.339,1.403,0.536,6.525,1.134,3.606,0.04,0,0.006,0.478,0.343,1.348,2.257
M10Finance and insurance,0.027,0.026,0.012,0.114,0.021,0.1,0.075,0.035,0.03,0.044,0.124,0.444,0.166,0,0.005,0.007,0.872,0.059,0.053,0.041,0.031,0.191,0.09,3.76,0.874,0.606,0.307,0.732,0.479,11.078,1.504,3.112,1.605,0.13,-0.004,-0.007,0.273,0.752,0.254,0.525,0.005,0.036,0.03,0.005,0.008,0.075,0.041,0.018,0.019,0.031,0.05,0.386,0.056,0.005,0.008,0.01,0.683,0.09,0.026,0.058,0.086,1.335,0.074,0.113,1.41,4.26,1.071,0.477,0.974,8.546,6.114,5.383,6.062,0.742,0,0.024,1.819,1.223,4.765,4.679
M11Real estate and rentals,0.008,0.002,0,0.014,0.001,0.006,0.006,0.005,0.003,0.003,0.009,0.016,0.011,-0.001,0,0.001,0.07,0.002,0.004,0.003,0.005,0.009,0.01,0.562,0.1,0.017,0.021,0.054,0.075,0.23,0.057,0.111,0.077,0.005,-0.001,-0.001,0.018,0.03,0.01,0.026,0,0.002,0.003,0.001,0,0.003,0.002,0.002,0.002,0.001,0,0.01,0.001,0.001,0.001,0,0.014,0.003,0,0.002,0.089,0.393,0.003,0.018,0.119,0.11,0.128,0.091,0.201,0.173,0.603,0.169,0.355,0.009,0,0.001,0.11,0.048,1.158,0.417
M12Professional services,0.029,0.017,0.007,0.107,0.013,0.055,0.052,0.036,0.029,0.025,0.085,0.252,0.088,-0.004,0.003,0.006,0.635,0.026,0.035,0.026,0.027,0.068,0.223,3.39,0.912,0.137,0.168,1.055,0.712,0.501,0.465,1.582,0.58,0.046,-0.004,-0.007,0.195,0.321,0.068,0.195,0.004,0.028,0.022,0.006,0.005,0.036,0.031,0.021,0.021,0.017,0.036,0.346,0.025,0.005,0.008,0.006,0.491,0.043,0.019,0.046,0.075,0.629,0.037,0.103,1.256,1.275,0.76,0.841,1.939,0.392,4.014,2.972,1.663,0.205,0,0.008,1.326,0.588,2.187,1.527
M13Business services,0.018,0.021,0.014,0.194,0.027,0.072,0.061,0.051,0.035,0.024,0.105,0.483,0.154,0.004,0.004,0.003,0.58,0.046,0.046,0.037,0.024,0.096,0.09,6.636,1.06,0.272,0.271,1.509,1.303,1.028,0.805,2.914,1.232,0.071,-0.002,-0.002,0.173,0.491,0.12,0.301,0.004,0.025,0.019,0.009,0.01,0.056,0.031,0.043,0.022,0.021,0.052,0.581,0.062,0.002,0.003,0.007,0.448,0.071,0.029,0.049,0.174,1.231,0.057,0.214,1.533,3.243,2.848,1.185,3.7,0.758,4.946,6.265,6.515,0.464,0,0.018,1.179,0.914,3.901,3.58
M14Educational services,0.058,-0.007,-0.002,0.128,-0.02,0.1,0.023,0.041,0.036,0.037,0.063,0.076,0.058,-0.025,0.005,0.016,0.188,0.035,0.018,0.011,0.06,0.063,0.086,3.333,0.544,0.105,0.159,0.696,0.289,0.358,0.285,0.598,0.814,0.087,-0.014,-0.028,0.088,0.456,0.04,0.15,0.009,0.036,0.056,0.002,-0.011,0.053,0.025,-0.015,0.033,0.007,-0.007,0.146,-0.013,0.015,0.029,0.004,0.129,0.053,-0.005,0.043,0.076,3.216,0.055,0.104,0.637,1.567,0.829,0.551,0.427,0.253,5.399,1.043,2.22,0.592,0,0.038,0.433,0.945,1.25,0.867
M15Health services,0.048,0.026,0.064,0.179,0.023,0.052,0.069,0.066,0.026,0.024,0.102,0.255,0.151,0.002,0.035,0.003,0.771,0.071,0.046,0.034,0.061,0.097,0.342,6.435,0.906,0.214,0.278,2.137,0.818,0.897,0.662,1.498,1.244,0.056,-0.001,-0.001,0.228,0.717,0.118,0.286,0.018,0.028,0.101,0.008,0.009,0.043,0.037,0.062,0.017,0.022,0.055,0.346,0.066,0.002,0.046,0.009,0.593,0.111,0.029,0.053,0.499,1.304,0.731,0.199,1.117,1.725,2.598,1.786,2.141,0.657,6.538,2.879,6.018,0.221,2.574,0.024,1.478,1.514,2.231,4.879
M16Arts and entertainment,0.036,0.004,0.014,0.106,0.006,0.053,0.027,0.031,0.02,0.02,0.055,0.182,0.076,-0.007,0.003,0.006,0.219,0.05,0.021,0.016,0.132,0.083,0.178,3.556,0.648,0.131,0.171,0.803,0.309,0.524,0.428,1.158,0.63,0.589,-0.005,-0.009,0.077,0.549,0.064,0.169,0.006,0.02,0.037,0.003,-0.001,0.033,0.018,0.01,0.016,0.008,0.013,0.186,0.02,0.005,0.011,0.004,0.167,0.075,0.007,0.028,0.35,1.542,0.135,0.11,0.826,1.199,3.462,0.646,0.634,0.412,4.933,2.358,4.276,0.068,0,1.122,0.469,1.187,3.766,5.49
M17Hotels ,0.014,0.013,0.014,0.09,0.016,0.042,0.036,0.043,0.016,0.014,0.059,0.22,0.151,0.003,0.002,0.002,0.353,0.035,0.028,0.021,0.017,0.063,0.106,3.522,0.7,0.182,0.159,0.855,0.457,1.285,0.475,1.375,1.183,0.054,0,0,0.106,0.37,0.079,0.194,0.004,0.01,0.019,0.005,0.005,0.03,0.012,0.037,0.007,0.009,0.02,0.117,0.06,0.001,0.001,0.004,0.187,0.051,0.011,0.018,0.092,4.241,0.112,0.118,0.951,2.045,4.407,1.257,1.179,1.192,4.407,2.675,10.39,0.106,0,0.061,0.731,0.728,3.639,3.988
M18Eating and drinking,0.341,0.018,0.376,0.181,0.025,0.037,0.055,0.106,0.022,0.019,0.091,0.18,0.124,0.002,0.002,0.003,0.297,0.044,0.044,0.027,0.37,0.085,0.57,6.375,0.655,0.174,0.259,2.602,0.485,0.644,0.566,1.125,0.97,0.05,-0.001,-0.001,0.093,0.463,0.108,0.257,0.124,0.019,0.568,0.009,0.009,0.028,0.03,0.094,0.015,0.015,0.043,0.089,0.059,0.002,0.003,0.005,0.235,0.067,0.027,0.042,3.782,2.474,5.333,0.192,0.856,1.02,2.745,2.952,1.055,0.5,4.965,1.962,3.338,0.052,0,0.171,0.55,0.855,2.937,1.254
M19Other services,0.031,0.013,0.012,0.19,0.018,0.051,0.042,0.054,0.026,0.019,0.071,0.251,0.128,0,0.003,0.004,0.4,0.024,0.032,0.023,0.029,0.077,0.374,6.8,0.939,0.184,0.238,0.827,0.983,0.715,0.555,1.553,1.244,0.05,-0.002,-0.004,0.124,0.305,0.092,0.248,0.003,0.017,0.015,0.009,0.004,0.034,0.019,0.038,0.012,0.011,0.021,0.12,0.046,0.003,0.005,0.005,0.309,0.037,0.011,0.027,0.213,1.785,0.027,0.221,1.314,1.891,4.091,1.183,2.743,0.602,8.548,3.136,7.129,0.275,0,0.048,0.833,0.388,2.83,3.837
M20government enterprises,0.006,0.006,0.003,0.06,0.008,0.017,0.017,0.018,0.007,0.007,0.028,0.093,0.044,0,0.001,0.001,0.186,0.009,0.012,0.009,0.008,0.024,0.024,2.069,0.335,0.053,0.071,0.314,0.126,0.149,0.165,0.664,0.379,0.021,-0.001,-0.002,0.057,0.11,0.028,0.077,0.001,0.008,0.006,0.003,0.003,0.012,0.009,0.013,0.005,0.005,0.011,0.084,0.015,0.001,0.002,0.002,0.146,0.015,0.006,0.013,0.093,2.356,0.012,0.071,0.612,0.506,1.604,0.469,0.257,0.101,1.052,1.159,1.874,0.144,0,0.003,0.389,0.194,1.021,1.192
